,player_id,year,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
0,5,2015,9118.477272727272,0,0,0,0.0,0,0,0,0,0,0,0,32,15,180,0,52,0,0,0,0.0,0.0,33.0,0,33.0
1,5,2016,9417.05,0,0,0,0.0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0.0,0.0,1.8,0,1.8
2,5,2017,9801.642857142857,0,0,0,0.0,0,0,0,0,0,0,0,7,3,44,0,0,0,0,0,0.0,0.0,7.4,0,7.4
3,8,1996,8158.4375,0,0,0,0.0,0,0,0,0,307,1116,11,46,23,139,0,0,0,0,0,0.0,177.59999999999997,36.9,0,214.5
4,8,1997,8526.279411764706,0,0,0,0.0,0,0,0,0,288,908,15,49,29,261,1,0,0,0,0,0.0,180.8,61.099999999999994,0,241.9
5,8,1998,8898.64705882353,0,0,0,0.0,0,0,0,0,300,1060,7,34,24,111,0,0,0,0,0,0.0,148.0,35.099999999999994,0,183.1
6,8,1999,9266.096153846154,0,0,0,0.0,0,0,0,0,143,445,1,22,17,84,1,0,0,0,0,0.0,50.5,31.399999999999995,0,81.89999999999998
7,8,2000,9563.5,0,0,0,0.0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,0.0,-0.2,0.0,0,-0.2
8,10,2015,8183.25,0,0,0,0.0,0,0,0,0,143,597,2,38,25,183,1,1077,0,0,0,0.0,71.70000000000002,49.30000000000002,0,120.99999999999999
9,10,2016,8494.25,0,0,0,0.0,0,0,0,0,18,101,0,5,5,57,1,0,0,0,0,0.0,10.1,16.7,0,26.8
10,10,2017,8893.09090909091,0,0,0,0.0,0,0,0,0,150,505,3,27,20,133,1,15,0,0,0,0.0,68.50000000000001,39.3,0,107.79999999999998
11,14,1999,8957.733333333334,0,0,0,0.0,0,0,0,0,5,12,0,3,2,11,0,0,0,0,0,0.0,1.2,3.1,0,4.3
12,14,2000,9333.942307692309,0,0,0,0.0,0,0,0,0,16,70,0,2,2,14,0,16,0,0,0,0.0,7.0,3.4000000000000004,0,10.4
13,14,2001,9697.125,0,0,0,0.0,0,0,0,0,11,40,0,2,2,26,0,92,0,0,0,0.0,4.0,4.6,0,8.6
14,14,2002,10053.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0.0,0.0,0.0,0,0.0
15,14,2003,10420.266666666666,0,0,0,0.0,0,0,0,0,18,37,0,9,8,55,0,62,0,0,0,0.0,3.7,13.5,0,17.200000000000003
16,14,2004,10802.583333333334,0,0,0,0.0,0,0,0,0,13,13,1,2,1,9,0,0,0,0,0,0.0,7.300000000000001,1.9,0,9.200000000000001
17,18,1982,8484.75,0,0,0,0.0,0,0,0,0,21,100,2,0,1,14,0,211,0,0,0,0.0,22.0,2.4,0,24.4
18,18,1983,8798.0,0,0,0,0.0,0,0,0,0,118,482,4,0,27,395,3,0,0,0,0,0.0,72.2,84.50000000000001,0,156.70000000000005
19,18,1984,9172.90625,0,0,0,0.0,0,0,0,0,177,753,1,0,20,166,0,0,0,0,0,0.0,81.3,36.599999999999994,0,117.89999999999998
20,18,1985,9531.015625,0,0,0,0.0,0,0,0,0,227,851,7,0,24,209,2,0,0,0,0,0.0,127.1,56.9,0,184.0
21,18,1986,9895.265625,0,0,0,0.0,0,0,0,0,214,877,6,0,47,395,2,0,0,0,0,0.0,123.7,98.5,0,222.2
22,18,1987,10275.708333333334,0,0,0,0.0,0,0,0,0,123,459,2,0,24,209,0,0,0,0,0,0.0,57.9,44.9,0,102.79999999999998
23,18,1988,10663.25,0,0,0,0.0,0,0,0,0,5,14,0,0,1,-2,0,87,0,0,0,0.0,1.4000000000000001,0.8,0,2.2
24,48,1971,8090.166666666667,0,0,0,0.0,0,0,0,0,13,43,0,0,1,6,1,149,0,0,0,0.0,4.3,7.6,0,11.899999999999999
25,48,1972,8429.482142857143,0,0,0,0.0,0,0,0,0,73,303,1,0,15,76,0,185,0,0,0,0.0,36.3,22.599999999999998,0,58.9
26,48,1973,8793.517857142857,0,0,0,0.0,0,0,0,0,67,264,0,0,9,63,0,79,0,0,0,0.0,26.400000000000006,15.3,0,41.7
27,48,1974,9155.4375,0,0,0,0.0,0,0,0,0,28,93,2,0,9,84,0,17,0,0,0,0.0,21.3,17.400000000000002,0,38.7
28,48,1975,9529.035714285714,2,2,57,16.95714285714286,0,0,0,0,94,353,1,0,15,111,0,27,0,0,0,2.2800000000000002,41.300000000000004,26.099999999999998,0,69.67999999999999
29,48,1976,9885.464285714286,0,0,0,0.0,0,0,0,0,33,93,0,0,4,28,1,179,0,2,0,0.0,9.299999999999999,12.8,0,22.1
30,54,1969,8463.083333333334,0,0,0,0.0,0,0,0,0,0,0,0,0,6,80,0,0,0,0,0,0.0,0.0,14.0,0,14.0
31,54,1970,8847.5,0,0,0,0.0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,0,0.0,0.0,6.6,0,6.6
32,54,1971,9211.82142857143,0,0,0,0.0,0,0,0,0,0,0,0,0,20,160,0,0,0,0,0,0.0,0.0,36.0,0,36.0
33,54,1973,9941.0,0,0,0,0.0,0,0,0,0,2,7,0,0,14,197,0,0,0,0,0,0.0,0.7,33.7,0,34.4
34,54,1974,10305.923076923076,0,0,0,0.0,0,0,0,0,0,0,0,0,17,244,0,0,0,0,0,0.0,0.0,41.39999999999999,0,41.39999999999999
35,54,1975,10716.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
36,54,1976,11028.423076923076,0,0,0,0.0,0,0,0,0,0,0,0,0,1,15,0,21,0,0,0,0.0,0.0,2.5,0,2.5
37,56,2003,8825.0,0,0,0,0.0,0,0,0,0,0,0,0,2,2,18,0,0,0,0,0,0.0,0.0,3.8,0,3.8
38,56,2004,9195.05,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,0,41,0,0.0,0.0,0.0,0,0.0
39,56,2005,9518.25,0,0,0,0.0,0,0,0,0,5,14,0,36,21,203,0,382,0,143,0,0.0,1.4000000000000001,41.300000000000004,0,42.7
40,58,1985,8531.75,0,0,0,0.0,0,0,0,0,16,49,1,0,1,12,0,50,0,0,0,0.0,10.9,2.2,0,13.1
41,58,1986,8979.57142857143,0,0,0,0.0,0,0,0,0,118,366,4,0,4,26,0,100,0,0,0,0.0,60.6,6.6000000000000005,0,67.2
42,58,1987,9329.083333333334,0,0,0,0.0,0,0,0,0,90,343,1,0,4,38,0,32,0,0,0,0.0,40.3,7.800000000000001,0,48.099999999999994
43,58,1988,9651.5,0,0,0,0.0,0,0,0,0,38,149,1,0,0,0,0,13,0,0,0,0.0,20.9,0.0,0,20.9
44,59,2011,8027.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
45,60,2014,7991.180555555556,0,0,0,0.0,0,0,0,0,0,0,0,80,46,570,4,0,0,0,0,0.0,0.0,127.00000000000001,0,127.00000000000001
46,60,2015,8365.69642857143,0,0,0,0.0,0,0,0,0,0,0,0,98,54,531,2,0,0,0,0,0.0,0.0,119.10000000000001,0,119.10000000000001
47,60,2016,8731.28947368421,0,0,0,0.0,0,0,0,0,0,0,0,146,91,1214,14,0,0,0,0,0.0,0.0,296.40000000000003,0,296.40000000000003
48,60,2017,9063.363636363636,0,0,0,0.0,0,0,0,0,0,0,0,91,55,702,7,0,0,0,0,0.0,0.0,167.2,0,167.2
49,61,1987,8510.083333333334,0,0,0,0.0,0,0,0,0,7,49,1,0,1,8,0,113,0,0,0,0.0,10.9,1.8,0,12.700000000000001
50,66,1985,8355.027777777777,0,1,0,2.2,0,0,0,0,132,511,2,0,35,459,2,241,0,0,0,0.0,63.099999999999994,92.9,0,156.00000000000003
51,66,1987,9092.9375,0,0,0,0.0,0,0,0,0,61,169,1,0,35,298,1,166,0,0,0,0.0,22.9,70.80000000000001,0,93.7
52,66,1988,9440.875,0,0,0,0.0,0,0,0,0,29,76,0,0,27,174,0,0,0,0,0,0.0,7.6000000000000005,44.4,0,52.0
53,66,1989,9807.660714285714,0,0,0,0.0,0,0,0,0,9,29,0,0,2,7,0,0,0,0,0,0.0,2.9,2.7,0,5.6
54,66,1990,10179.84375,0,0,0,0.0,0,0,0,0,28,111,0,0,16,146,1,7,0,0,0,0.0,11.100000000000001,36.6,0,47.7
55,66,1991,10483.5,0,0,0,0.0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0.0,0.30000000000000004,0.0,0,0.30000000000000004
56,71,2016,8715.442307692309,0,0,0,0.0,0,0,0,0,0,0,0,21,16,122,1,0,0,0,0,0.0,0.0,34.2,0,34.2
57,71,2017,9056.363636363636,0,0,0,0.0,0,0,0,0,0,0,0,4,4,61,0,0,0,0,0,0.0,0.0,10.1,0,10.1
58,72,2012,8387.527777777777,0,0,0,0.0,0,0,0,0,3,13,0,1,1,7,0,208,0,127,0,0.0,1.3,1.7,0,3.0
59,79,2012,9143.25,0,0,0,0.0,0,0,0,0,0,0,0,8,2,26,0,0,0,0,0,0.0,0.0,4.6,0,4.6
60,80,2011,8661.375,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
61,80,2012,9060.866666666667,0,0,0,0.0,0,0,0,0,0,0,0,8,4,40,0,38,0,0,0,0.0,0.0,8.0,0,8.0
62,80,2013,9444.916666666666,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
63,83,1997,8582.083333333334,0,0,0,0.0,0,0,0,0,0,0,0,0,1,39,0,215,0,0,0,0.0,0.0,4.9,0,4.9
64,98,1962,8266.0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,51,0,0,0,0,0,0.0,0.0,8.1,0,8.1
65,99,1975,9377.916666666666,36,77,445,29.05,2,4,0,0,8,42,0,0,1,-7,0,0,0,0,0,21.8,4.2,0.30000000000000004,0,26.299999999999997
66,99,1976,9719.07142857143,36,71,575,24.435714285714287,3,4,0,0,5,46,0,0,0,0,0,0,0,0,0,33.0,4.6000000000000005,0.0,0,37.6
67,99,1977,10090.32142857143,47,92,691,30.23571428571429,2,11,0,0,5,21,0,0,0,0,0,0,0,0,0,17.64,2.1,0.0,0,19.740000000000002
68,99,1978,10447.5,44,79,415,16.96875,2,3,0,0,9,15,0,0,0,0,0,0,0,0,0,22.6,1.5,0.0,0,24.1
69,99,1987,13720.25,49,89,607,70.8,3,5,18,120,11,31,0,0,0,0,0,0,0,0,0,14.280000000000001,3.1,0.0,0,17.380000000000003
70,104,1979,8464.3125,0,0,0,0.0,0,0,0,0,2,4,0,0,1,6,0,0,0,0,0,0.0,0.4,1.6,0,2.0
71,104,1980,8838.529411764706,0,0,0,0.0,0,0,0,0,2,7,0,0,8,165,0,0,0,0,0,0.0,0.7,24.5,0,25.200000000000003
72,104,1981,9167.392857142857,0,0,0,0.0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0.0,0.0,3.4,0,3.4
73,104,1982,9517.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
74,104,1983,9927.0625,0,0,0,0.0,0,0,0,0,1,2,0,0,20,374,2,0,0,0,0,0.0,0.2,69.4,0,69.6
75,104,1984,10290.5625,0,0,0,0.0,0,0,0,0,0,0,0,0,21,261,0,0,0,0,0,0.0,0.0,47.099999999999994,0,47.099999999999994
76,104,1985,10616.583333333334,0,0,0,0.0,0,0,0,0,0,0,0,0,10,132,0,0,0,0,0,0.0,0.0,23.200000000000003,0,23.200000000000003
77,108,2006,8602.8,0,0,0,0.0,0,0,0,0,302,1375,9,73,62,443,1,0,0,0,0,0.0,191.49999999999997,112.30000000000001,0,303.8
78,108,2007,8958.125,0,0,0,0.0,0,0,0,0,274,1115,12,63,50,431,3,0,0,0,0,0.0,183.49999999999997,111.10000000000001,0,294.59999999999997
79,108,2008,9316.326923076924,0,0,0,0.0,0,0,0,0,171,588,6,44,29,234,2,0,0,0,0,0.0,94.80000000000001,64.4,0,159.19999999999996
80,108,2009,9696.611111111111,1,1,22,8.794444444444444,1,0,0,0,259,1008,11,74,62,421,3,0,0,0,0,6.88,166.8,122.10000000000001,0,295.78000000000003
81,108,2010,10042.638888888889,0,0,0,0.0,0,0,0,0,129,555,4,26,19,124,0,0,0,0,0,0.0,79.5,31.4,0,110.9
82,108,2011,10414.416666666666,0,0,0,0.0,0,0,0,0,118,433,1,22,15,93,0,0,0,0,0,0.0,49.3,24.299999999999997,0,73.6
83,111,2016,8477.75,0,0,0,0.0,0,0,0,0,1,4,0,1,1,11,0,18,0,3,0,0.0,0.4,2.1,0,2.5
84,122,1970,8584.35,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,149,0,44,0,0.0,0.0,0.0,0,0.0
85,122,1971,8952.333333333334,0,0,0,0.0,0,0,0,0,0,0,0,0,4,53,0,0,0,5,0,0.0,0.0,9.3,0,9.3
86,122,1972,9316.82142857143,0,0,0,0.0,0,0,0,0,0,0,0,0,9,96,0,1020,0,0,0,0.0,0.0,18.6,0,18.6
87,122,1973,9682.961538461539,0,0,0,0.0,0,0,0,0,0,0,0,0,6,109,0,615,0,0,0,0.0,0.0,16.9,0,16.9
88,124,1977,8176.5,0,0,0,0.0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0,0.6
89,124,1979,8951.666666666666,0,3,0,13.200000000000001,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0.0,1.1,0.0,0,1.1
90,124,1980,9313.0,10,23,136,70.075,1,3,0,0,6,18,0,0,0,0,0,0,0,0,0,5.4399999999999995,1.8,0.0,0,7.240000000000001
91,124,1981,9665.166666666666,7,13,96,41.5,1,1,2,14,3,28,0,0,0,0,0,0,0,0,0,5.84,2.8,0.0,0,8.639999999999999
92,126,2006,9778.166666666666,0,0,0,0.0,0,0,0,0,0,0,0,2,1,9,0,0,0,0,0,0.0,0.0,1.9,0,1.9
93,129,1991,9376.5,0,0,0,0.0,0,0,0,0,0,0,0,0,7,68,0,0,0,0,0,0.0,0.0,13.8,0,13.8
94,136,1988,9017.411764705883,0,1,0,0.0,0,1,0,0,1,2,0,0,3,31,0,0,0,0,0,-2.0,0.2,6.1,0,4.3
95,136,1989,9408.25,0,0,0,0.0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0,0.3
96,136,1990,9749.125,0,0,0,0.0,0,0,0,0,53,213,0,0,30,272,1,0,0,0,0,0.0,21.300000000000004,63.2,0,84.5
97,136,1991,10116.416666666666,0,0,0,0.0,0,0,0,0,12,32,1,0,8,39,0,0,0,0,0,0.0,9.2,11.899999999999999,0,21.100000000000005
98,136,1992,10494.368421052632,0,0,0,0.0,0,0,0,0,16,54,0,4,3,18,0,0,0,0,0,0.0,5.4,4.800000000000001,0,10.2
99,136,1993,10846.25,0,0,0,0.0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0.0,1.2999999999999998,0.0,0,1.2999999999999998
100,136,1994,11221.382352941177,0,0,0,0.0,0,0,0,0,5,4,0,3,1,2,0,0,0,0,0,0.0,0.39999999999999997,1.2,0,1.5999999999999999
101,137,2015,8206.5,0,0,0,0.0,0,0,0,0,0,0,0,44,23,283,1,0,0,0,0,0.0,0.0,57.3,0,57.3
102,137,2016,8567.55,0,0,0,0.0,0,0,0,0,5,14,0,69,36,365,2,92,0,0,0,0.0,1.4,84.50000000000001,0,85.90000000000002
103,137,2017,8911.09090909091,0,0,0,0.0,0,0,0,0,0,0,0,53,33,458,6,0,0,0,0,0.0,0.0,114.79999999999998,0,114.79999999999998
104,141,2014,8648.0,0,0,0,0.0,0,0,0,0,2,2,0,9,3,15,0,0,0,0,0,0.0,0.2,4.5,0,4.7
105,152,2011,8230.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
106,152,2012,8607.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
107,152,2014,9293.638888888889,0,0,0,0.0,0,0,0,0,0,0,0,35,26,290,4,0,0,0,0,0.0,0.0,79.00000000000001,0,79.00000000000001
108,152,2015,9658.4375,0,0,0,0.0,0,0,0,0,0,0,0,127,75,944,5,0,0,0,0,0.0,0.0,199.4,0,199.4
109,152,2016,10022.0625,0,0,0,0.0,0,0,0,0,0,0,0,50,29,328,1,0,0,0,0,0.0,0.0,67.8,0,67.8
110,152,2017,10363.0,0,0,0,0.0,0,0,0,0,0,0,0,38,14,131,0,0,0,0,0,0.0,0.0,27.1,0,27.1
111,153,2003,8354.3,0,0,0,0.0,0,0,0,0,0,0,0,8,3,35,0,0,0,0,0,0.0,0.0,6.5,0,6.5
112,153,2004,8732.234375,0,0,0,0.0,0,0,0,0,0,0,0,18,11,148,0,0,0,0,0,0.0,0.0,25.8,0,25.8
113,153,2005,9092.921875,0,0,0,0.0,0,0,0,0,0,0,0,13,4,57,0,0,0,0,0,0.0,0.0,9.700000000000001,0,9.700000000000001
114,153,2006,9457.766666666666,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
115,153,2007,9828.645833333334,0,0,0,0.0,0,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0.0,0.0,2.0,0,2.0
116,153,2008,10195.44642857143,0,0,0,0.0,0,0,0,0,0,0,0,11,8,101,0,0,0,0,0,0.0,0.0,18.1,0,18.1
117,153,2009,10557.6,0,0,0,0.0,0,0,0,0,0,0,0,46,21,331,2,0,0,0,0,0.0,0.0,66.10000000000001,0,66.10000000000001
118,153,2010,10885.25,0,0,0,0.0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0.0,0.0,1.7,0,1.7
119,154,1987,9259.583333333334,0,0,0,0.0,0,0,0,0,1,1,0,0,8,134,3,0,0,0,0,0.0,0.1,39.400000000000006,0,39.5
120,156,1989,8385.522727272728,155,293,1749,53.527272727272745,9,18,19,155,38,302,0,0,1,-13,0,0,0,0,0,68.96,30.199999999999996,-0.30000000000000004,0,98.86000000000001
121,156,1990,8742.55,226,399,2579,65.74666666666666,11,18,39,288,40,172,1,0,0,0,0,0,0,0,0,94.16,23.199999999999992,0.0,0,117.36000000000001
122,156,1991,9098.038461538461,248,379,2868,83.36153846153846,11,11,35,250,18,5,1,0,1,-6,0,0,0,0,0,123.72000000000001,6.5,0.4,0,130.62000000000003
123,156,1992,9491.263157894737,363,562,4240,95.42631578947368,31,14,30,155,46,143,1,0,0,0,0,0,0,0,0,297.6000000000001,20.3,0.0,0,317.9
124,156,1993,9859.45588235294,332,474,3786,104.5764705882353,20,9,33,181,39,153,0,0,0,0,0,0,0,0,0,220.43999999999997,15.3,0.0,0,235.73999999999998
125,156,1994,10212.328125,286,444,3393,90.56249999999999,17,16,19,94,32,73,1,0,0,0,0,0,0,0,0,186.71999999999997,13.3,0.0,0,200.02000000000007
126,156,1995,10582.0,333,512,4021,95.31052631578947,20,8,18,114,29,38,1,0,0,0,0,0,0,0,0,246.83999999999997,9.799999999999999,0.0,0,256.64
127,156,1996,10938.691176470587,333,530,3469,77.31176470588237,13,17,21,146,38,46,2,0,0,0,0,0,0,0,0,161.76,16.6,0.0,0,178.35999999999999
128,156,1997,11298.765625,292,518,3283,76.06249999999999,19,12,33,269,25,79,0,0,0,0,0,0,0,0,0,188.32,7.9,0.0,0,196.22
129,156,1998,11685.145833333334,209,364,2521,86.3,13,8,13,84,23,69,2,0,0,0,0,0,0,0,0,149.84000000000003,18.9,0.0,0,168.74000000000004
130,156,1999,12044.583333333334,285,480,3250,80.38666666666668,17,13,20,138,21,10,1,0,0,0,0,0,0,0,0,186.0,6.999999999999999,0.0,0,192.99999999999997
131,156,2000,12395.772727272728,156,262,1632,71.16363636363636,7,14,13,91,10,13,0,0,0,0,0,0,0,0,0,66.28,1.2999999999999998,0.0,0,67.58000000000001
132,160,2015,8209.611111111111,0,0,0,0.0,0,0,0,0,49,187,1,11,7,90,0,20,0,0,0,0.0,24.699999999999996,16.0,0,40.699999999999996
133,160,2016,8552.3125,0,0,0,0.0,0,0,0,0,276,1305,8,38,30,163,0,0,0,0,0,0.0,178.50000000000003,46.3,0,224.8
134,160,2017,8892.6,0,0,0,0.0,0,0,0,0,158,659,1,23,16,84,0,0,0,0,0,0.0,71.89999999999998,24.4,0,96.29999999999998
135,161,2010,8570.95,0,0,0,0.0,0,0,0,0,0,0,0,23,13,262,2,0,0,0,0,0.0,0.0,51.2,0,51.2
136,161,2011,8906.5,0,0,0,0.0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0.0,0.0,1.4,0,1.4
137,161,2012,9291.583333333334,0,0,0,0.0,0,0,0,0,0,0,0,4,3,45,0,0,0,0,0,0.0,0.0,7.5,0,7.5
138,161,2013,9655.6875,0,0,0,0.0,0,0,0,0,0,0,0,4,3,64,1,0,0,0,0,0.0,0.0,15.399999999999999,0,15.399999999999999
139,161,2014,10004.125,0,0,0,0.0,0,0,0,0,0,0,0,12,4,45,0,0,0,0,0,0.0,0.0,8.5,0,8.5
140,161,2015,10372.153846153846,0,0,0,0.0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0.0,0.0,1.4,0,1.4
141,169,1985,8636.75,0,0,0,0.0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,0,0.0,0.0,5.2,0,5.2
142,169,1986,9043.0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,67,0,0,0,0,0,0.0,0.0,10.7,0,10.7
143,177,1950,11229.333333333334,155,306,1767,51.64166666666667,14,23,0,0,53,272,3,0,0,0,0,0,0,0,0,108.67999999999999,45.199999999999996,0.0,0,153.88000000000002
144,177,1951,11607.166666666666,90,166,1116,64.83333333333333,5,10,0,0,35,146,3,0,0,0,0,0,0,0,0,54.640000000000015,32.599999999999994,0.0,0,87.24000000000001
145,177,1952,11970.545454545454,71,129,964,71.63636363636363,8,10,0,0,22,87,1,0,0,0,0,0,0,0,0,66.56,14.700000000000001,0.0,0,81.25999999999999
146,188,2006,9603.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
147,195,1980,8772.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
148,207,1979,8124.0,0,0,0,0.0,0,0,0,0,88,286,1,0,11,91,0,0,0,0,0,0.0,34.599999999999994,20.1,0,54.699999999999996
149,207,1980,8494.25,0,0,0,0.0,0,0,0,0,169,702,2,0,36,192,0,0,0,0,0,0.0,82.2,55.199999999999996,0,137.4
150,207,1981,8873.666666666666,0,0,0,0.0,0,0,0,0,125,403,4,0,34,300,1,0,0,0,0,0.0,64.3,70.0,0,134.3
151,207,1982,9253.65,0,0,0,0.0,0,0,0,0,71,221,1,0,14,85,1,0,0,0,0,0.0,28.1,28.5,0,56.6
152,207,1983,9585.857142857143,0,0,0,0.0,0,0,0,0,153,523,3,0,32,187,0,0,0,0,0,0.0,70.30000000000001,50.70000000000002,0,121.00000000000001
153,207,1984,9950.3125,0,0,0,0.0,0,0,0,0,132,479,2,0,29,203,0,0,0,0,0,0.0,59.89999999999999,49.300000000000004,0,109.2
154,207,1985,10321.5625,0,0,0,0.0,0,0,0,0,44,156,2,0,15,110,0,0,0,0,0,0.0,27.599999999999998,26.0,0,53.6
155,210,2001,8674.607142857143,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
156,210,2002,9032.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
157,210,2003,9368.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
158,211,2010,8882.5,0,0,0,0.0,0,0,0,0,0,0,0,37,20,306,1,0,0,0,0,0.0,0.0,56.599999999999994,0,56.599999999999994
159,211,2011,9227.25,0,0,0,0.0,0,0,0,0,0,0,0,60,26,431,2,0,0,0,0,0.0,0.0,81.1,0,81.1
160,211,2012,9609.7,0,1,0,3.96,0,0,0,0,0,0,0,62,37,658,7,0,0,0,0,0.0,0.0,144.8,0,144.8
161,213,1994,8405.515625,0,0,0,0.0,0,0,0,0,4,38,0,93,53,897,2,0,0,0,0,0.0,3.8000000000000003,154.7,0,158.5
162,213,1995,8759.44642857143,0,0,0,0.0,0,0,0,0,1,29,0,29,15,216,0,419,0,122,1,0.0,2.9,36.6,6,45.5
163,213,1996,9120.3,0,0,0,0.0,0,0,0,0,3,0,0,107,62,1099,9,13,0,15,0,0.0,-8.326672684688674e-17,225.9,0,225.89999999999998
164,213,1997,9483.95,0,0,0,0.0,0,0,0,0,1,0,0,124,65,1009,9,0,0,34,0,0.0,0.0,219.89999999999998,0,219.89999999999998
165,213,1998,9861.366666666667,0,0,0,0.0,0,0,0,0,0,0,0,107,54,992,4,0,0,0,0,0.0,0.0,177.20000000000002,0,177.20000000000002
166,213,1999,10228.953125,0,0,0,0.0,0,0,0,0,2,82,1,103,54,832,2,0,0,0,0,0.0,14.2,149.2,0,163.39999999999998
167,213,2000,10586.109375,0,0,0,0.0,0,0,0,0,3,45,0,144,78,1391,10,0,0,0,0,0.0,4.5,277.09999999999997,0,281.6
168,213,2001,10966.48076923077,0,0,0,0.0,0,0,0,0,2,16,0,68,27,470,3,0,0,0,0,0.0,1.6,92.00000000000001,0,93.60000000000001
169,213,2002,11291.5,0,0,0,0.0,0,0,0,0,0,0,0,39,14,134,1,0,0,0,0,0.0,0.0,33.400000000000006,0,33.400000000000006
170,221,1970,8552.826923076924,0,0,0,0.0,0,0,0,0,0,0,0,0,4,51,0,204,0,2,0,0.0,0.0,9.100000000000001,0,9.100000000000001
171,223,1989,9056.57142857143,0,0,0,0.0,0,0,0,0,45,146,2,0,8,84,0,0,0,0,0,0.0,26.6,16.4,0,42.99999999999999
172,223,1992,10174.892857142857,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
173,227,1996,7983.0,0,0,0,0.0,0,0,0,0,0,0,0,10,4,88,0,27,0,0,0,0.0,0.0,12.799999999999999,0,12.799999999999999
174,227,1997,8322.1,0,0,0,0.0,0,0,0,0,0,0,0,49,18,276,1,30,0,0,0,0.0,0.0,51.6,0,51.6
175,233,1989,8993.5625,0,0,0,0.0,0,0,0,0,0,0,0,0,15,295,1,0,0,0,0,0.0,0.0,50.5,0,50.5
176,233,1991,9765.166666666666,0,0,0,0.0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0.0,0.0,1.7,0,1.7
177,237,1984,8358.166666666666,0,0,0,0.0,0,0,0,0,0,0,0,0,9,141,1,0,0,0,0,0.0,0.0,29.099999999999998,0,29.099999999999998
178,237,1988,9788.9375,0,0,0,0.0,0,0,0,0,0,0,0,0,54,788,6,0,0,0,0,0.0,0.0,168.8,0,168.8
179,237,1989,10124.25,0,0,0,0.0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0.0,0.0,2.6,0,2.6
180,238,1982,8981.111111111111,0,0,0,0.0,0,0,0,0,1,3,0,0,1,-7,0,139,0,0,0,0.0,0.3,0.30000000000000004,0,0.6000000000000001
